id;fr;nl
b3a72c48-df41-4344-b829-8e0a512e95ef;Administration;Bestuurszaken
8aedb62e-65f5-43f9-9a2e-443151366cd0;Affaires étrangères;Buitenlandse zaken 
da8ba788-73fd-4ee8-a58e-cff5d88baddc;Affaires étrangères flamandes;Internationaal Vlaanderen
c2ca8323-f72b-4cf4-be22-d44ea5e8ade6;Agriculture et pêche;Landbouw en visserij
199dd05f-d224-4c31-add5-0f28edefe82f;Aménagement du territoire, politique du logement et patrimoine immobilier;Ruimtelijke ordening, woonbeleid en onroerend erfgoed
e335a5eb-3590-40d9-bd57-df360c30219e;Bien-être, santé publique et famille;Welzijn, Volksgezondheid en Gezin
1df8619b-8df7-4a35-8316-e8553b4e84fc;Budget;Begroting
6497423f-7ff8-4f5c-b92b-ec6cba5b28d2;Coopération au développement;Ontwikkelingssamenwerking 
c11719e9-955e-4315-a5db-899dd5922cb0;Culture;Cultuur
9984c9b8-2150-4d13-9742-346e0b603ae0;Défense;Defensie
6ec60fb9-6b92-4298-be07-45e09d298ed8;Économie;Economie
96c078c0-1c78-476f-bd95-f88f19309f6e;Emploi et économie sociale;Werk en Sociale Economie
25a04954-72f1-4ddf-9bf9-880d06874c63;Énergie;Energie
a6ecc52a-bd89-4833-b3f3-a6528a9496b2;Enseignement et formation;Onderwijs en vorming
52101c1d-4778-4bd4-902e-38f11cf38543;Environnement;Milieu
897da1e0-70bf-44ec-aebc-ca8f9c5010ba;Finances;Financiën
e5453a04-f750-45f3-9f3e-7c4c8edd5334;Fiscalité;Fiscaliteit
5b3b9c43-7f33-4e8a-890e-8d95b9754881;Fonction publique;Ambtenarenzaken
0140724e-c760-4917-ba2d-bb1207969773;Innovation;Innovatie
89042179-5e97-4326-8b9c-0fc7c3541959;Intégration sociale;Maatschappelijke integratie
355c10f7-78e9-42f0-a03b-e5807eb0c71c;Intérieur;Binnenlandse Zaken
c7d66f9f-90c9-4fc0-877b-8f00546cb2ce;Jeunesse;Jeugd
8cd9eb47-b495-43ab-a01d-9105671a2507;Justice;Justitie
990613cd-9005-4d03-b4d8-51d9c7f1606f;Marchés publics;Overheidsopdrachten
080a3e3d-f98c-415d-9626-28929563b2d0;Médias;Media
ac101e41-9ee5-43c4-a3c8-7ee619fa9494;Mobilité;Mobiliteit
6120427f-4ac2-45dc-826f-dcb4758b8a7d;Sciences;Wetenschap
6d227a83-a8f5-4c70-9aef-e11dea48a6b9;Sécurité sociale;Sociale Zekerheid
b67e4093-7651-45ba-8081-ff6780abf50c;Services de politique générale du gouvernement;Diensten algemeen regeringsbeleid
bd8979e5-af13-4316-bd1d-6ccf47f73915;Sports;Sport
4058e7b2-b3bd-476a-ac1b-697905370df2;Travaux publics;Openbare Werken 
